nivel;campanha;conjunto;anuncio;recorte;segmento;id;status;status_entrega;objetivo;otimizacao;estrategia_lance;orcamento_diario_brl;investimento_brl;alcance;impressoes;frequencia;cpm_brl;cliques_todos;cliques_no_link;cliques_saida;cliques_link_unicos;ctr_pct;cpc_brl;cpc_link_brl;visitas_perfil_ig;custo_por_visita_brl;seguidores_atribuidos_ig;custo_por_seguidor_brl;taxa_visita_para_seguidor_pct;visualizacoes_pagina_destino;engajamento_publicacao;reacoes;comentarios;compartilhamentos;salvamentos;reproducoes_video;video_25pct;video_50pct;video_75pct;video_95pct;video_100pct;thruplays;tempo_medio_video_seg;hook_rate_25pct_sobre_plays_pct;conclusao_100pct_sobre_plays_pct;fonte
campanha;Fase 1 - [O7][DISTR];;;total do periodo;;120251942438410522;ACTIVE;off - account_spend_limit_reached;LINK_CLICKS (trafego);PROFILE_VISIT (visitas ao perfil);Highest volume (maior volume, sem teto de custo);10,00;57,50;1905;2012;1,0562;28,58;159;149;4;146;7,90;0,36;0,3859;84;0,6845;5;11,5000;5,95;nao aplicavel (destino = perfil do Instagram, sem site);593;20;1;1;1;1943;93;65;52;40;39;129;5;4,79;2,01;MCP ads_get_ad_entities
conjunto;Fase 1 - [O7][DISTR];[DISTR] - Interesses;;total do periodo;;120251942438430522;ACTIVE;off - account_spend_limit_reached;LINK_CLICKS (trafego);PROFILE_VISIT (visitas ao perfil);Highest volume (maior volume, sem teto de custo);(orcamento na campanha - CBO);57,50;1905;2012;1,0562;28,58;159;149;4;146;7,90;0,36;0,3859;84;0,6845;5;11,5000;5,95;nao aplicavel (destino = perfil do Instagram, sem site);593;20;1;1;1;1943;93;65;52;40;39;129;5;4,79;2,01;MCP ads_get_ad_entities
anuncio;Fase 1 - [O7][DISTR];[DISTR] - Interesses;00 - A maioria das empresas nao perde credito tributario por erro.;total do periodo;;120251942438420522;ACTIVE;off - account_spend_limit_reached;LINK_CLICKS (trafego);PROFILE_VISIT (visitas ao perfil);Highest volume (maior volume, sem teto de custo);(orcamento na campanha - CBO);57,50;1905;2012;1,0562;28,58;159;149;4;146;7,90;0,36;0,3859;84;0,6845;5;11,5000;5,95;nao aplicavel (destino = perfil do Instagram, sem site);593;20;1;1;1;1943;93;65;52;40;39;129;5;4,79;2,01;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;total do periodo;;120251943436260522;ACTIVE;off - account_spend_limit_reached;LINK_CLICKS (trafego);PROFILE_VISIT (visitas ao perfil);Highest volume (maior volume, sem teto de custo);10,00;55,36;1937;2098;1,0831;26,39;172;171;10;166;8,20;0,32;0,3237;134;0,4131;6;9,2267;4,48;nao aplicavel (destino = perfil do Instagram, sem site);791;14;1;2;3;2020;228;180;142;105;97;240;8;11,29;4,80;MCP ads_get_ad_entities
conjunto;Fase 2 - [O7][DISTR];[DISTR] - Vperfil 30D;;total do periodo;;120251943436250522;ACTIVE;off - account_spend_limit_reached;LINK_CLICKS (trafego);PROFILE_VISIT (visitas ao perfil);Highest volume (maior volume, sem teto de custo);(orcamento na campanha - CBO);55,36;1937;2098;1,0831;26,39;172;171;10;166;8,20;0,32;0,3237;134;0,4131;6;9,2267;4,48;nao aplicavel (destino = perfil do Instagram, sem site);791;14;1;2;3;2020;228;180;142;105;97;240;8;11,29;4,80;MCP ads_get_ad_entities
anuncio;Fase 2 - [O7][DISTR];[DISTR] - Vperfil 30D;00 - Pequenos detalhes podem gerar grandes impactos na carga tributaria de uma empresa.;total do periodo;;120251943436240522;ACTIVE;off - account_spend_limit_reached;LINK_CLICKS (trafego);PROFILE_VISIT (visitas ao perfil);Highest volume (maior volume, sem teto de custo);(orcamento na campanha - CBO);55,36;1937;2098;1,0831;26,39;172;171;10;166;8,20;0,32;0,3237;134;0,4131;6;9,2267;4,48;nao aplicavel (destino = perfil do Instagram, sem site);791;14;1;2;3;2020;228;180;142;105;97;240;8;11,29;4,80;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;diario;2026-07-23;;;;;;;;11,24;246;251;1,0200;44,78;30;27;;;11,95;0,3747;;12;0,9367;nao disponivel neste recorte;;;;97;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;diario;2026-07-24;;;;;;;;7,19;228;233;1,0200;30,86;20;22;;;8,58;0,3595;;11;0,6536;nao disponivel neste recorte;;;;87;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;diario;2026-07-25;;;;;;;;7,13;257;258;1,0000;27,64;22;18;;;8,53;0,3241;;12;0,5942;nao disponivel neste recorte;;;;88;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;diario;2026-07-26;;;;;;;;13,41;494;505;1,0200;26,55;39;40;;;7,72;0,3438;;24;0,5587;nao disponivel neste recorte;;;;150;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;diario;2026-07-27;;;;;;;;10,96;344;356;1,0300;30,79;27;23;;;7,58;0,4059;;10;1,0960;nao disponivel neste recorte;;;;96;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;diario;2026-07-28;;;;;;;;7,46;380;383;1,0100;19,48;21;19;;;5,48;0,3552;;15;0,4973;nao disponivel neste recorte;;;;74;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;diario;2026-07-29;;;;;;;;0,11;26;26;1,0000;4,23;0;0;;;0,00;;;0;;nao disponivel neste recorte;;;;1;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;diario;2026-07-23;;;;;;;;7,21;227;227;1,0000;31,76;23;26;;;10,13;0,3135;;24;0,3004;nao disponivel neste recorte;;;;75;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;diario;2026-07-24;;;;;;;;11,04;278;284;1,0200;38,87;26;27;;;9,15;0,4246;;22;0,5018;nao disponivel neste recorte;;;;127;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;diario;2026-07-25;;;;;;;;7,16;316;323;1,0200;22,17;24;22;;;7,43;0,2983;;18;0,3978;nao disponivel neste recorte;;;;114;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;diario;2026-07-26;;;;;;;;13,13;478;478;1,0000;27,47;49;48;;;10,25;0,2680;;33;0,3979;nao disponivel neste recorte;;;;191;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;diario;2026-07-27;;;;;;;;9,70;412;412;1,0000;23,54;30;29;;;7,28;0,3233;;23;0,4217;nao disponivel neste recorte;;;;163;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;diario;2026-07-28;;;;;;;;6,96;353;361;1,0200;19,28;19;18;;;5,26;0,3663;;13;0,5354;nao disponivel neste recorte;;;;117;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 2 - [O7][DISTR];;;diario;2026-07-29;;;;;;;;0,16;13;13;1,0000;12,31;1;1;;;7,69;0,1600;;1;0,1600;nao disponivel neste recorte;;;;4;;;;;;;;;;;;;;;MCP ads_get_ad_entities
campanha;Fase 1 - [O7][DISTR];;;faixa etaria;18-24;;;;;;;;2,11;296;306;;;4;;;;1,31;0,5275;;2;1,0550;nao disponivel neste recorte;;;;;;;;;;;;;;;;;;;MCP ads_get_ad_entities
